63.94 2.5
27.5 22.32
73.65 67.67
89.22 8.69
42.19 2.98
21.86 50.54
2.65 19.88
64.99 54.49
22.04 58.93
80.94 0.65
80.58 69.81
34.03 15.55
95.72 33.66
9.27 9.67
84.75 60.37
80.71 72.97
53.62 97.31
37.85 55.2
82.94 61.85
86.17 57.74
70.46 4.58
22.79 28.94
7.98 23.28
10.1 27.8
63.57 36.48
37.02 20.95
26.7 93.67
64.8 60.91
17.11 72.91
16.34 37.95
98.95 64.0
55.69 68.46
84.29 77.6
22.9 3.21
31.55 26.77
21.1 94.29
87.64 31.47
65.54 39.56
91.45 45.89
26.49 24.66
56.14 26.27
58.46 89.78
39.94 21.93
99.75 50.95
9.09 4.71
10.96 62.74
79.21 42.22
6.35 38.16
99.61 52.91
97.11 86.08
1.15 72.07
68.17 53.7
26.68 64.1
11.16 43.48
45.37 95.38
87.59 26.34
50.06 17.87
91.26 87.05
29.84 63.89
60.9 15.28
76.25 53.94
77.86 53.04
0.06 32.42
1.95 92.91
87.87 83.17
30.75 5.79
87.8 94.69
8.57 48.6
6.92 76.06
76.58 12.84
47.53 54.98
26.51 87.24
42.31 21.18
53.93 72.99
20.12 31.17
99.51 64.99
43.81 51.76
12.1 22.47
33.81 58.83
23.01 22.02
7.1 63.11
22.89 90.54
85.96 7.09
23.8 66.9
21.42 13.23
93.55 57.1
47.27 78.46
80.75 19.04
9.69 43.11
42.36 46.7
72.91 67.34
98.42 9.84
40.26 33.93
86.17 24.87
19.02 44.86
42.19 27.85
24.98 92.33
44.31 86.13
55.03 5.06
99.93 83.6
96.9 92.64
84.87 16.63
48.56 21.37
40.1 5.86
37.9 98.53
26.52 78.41
45.5 42.3
95.73 99.54
55.58 71.84
15.48 29.67
96.87 57.92
54.22 74.8
5.72 58.42
50.29 85.27
15.74 96.08
8.01 18.58
59.5 67.52
23.52 11.99
89.03 24.62
59.45 61.94
41.92 58.37
52.28 93.47
20.43 71.62
23.87 39.58
67.17 30.0
31.62 75.19
7.25 45.83
99.85 99.61
7.33 21.32
26.52 93.33
88.09 87.93
36.95 15.77
83.37 70.35
61.17 98.72
65.4 0.78
81.71 29.94
66.34 93.89
13.43 11.54
10.7 55.32
27.23 60.48
71.76 20.36
63.42 26.4
48.85 90.53
84.61 9.23
42.36 27.67
0.35 77.11
63.71 26.2
74.12 55.17
42.77 0.97
7.52 88.31
90.39 54.56
83.46 58.25
14.81 12.74
30.83 89.9
79.61 86.07
89.89 21.01
24.95 10.28
78.01 88.41
40.64 62.07
15.46 92.99
86.46 97.62
81.08 88.14
2.48 73.66
33.22 93.08
80.22 86.41
81.07 26.68
78.74 10.81
87.22 85.86
22.24 81.66
46.03 30.52
79.53 22.76
2.37 19.31
32.83 86.44
96.69 27.91
64.15 39.97
98.11 53.62
93.92 11.53
97.04 17.86
96.25 26.55
10.84 43.46
72.85 31.37
60.62 51.14
38.52 57.66
25.47 70.88
0.17 92.56
53.85 71.94
74.2 67.06
36.42 7.0
66.42 33.02
31.39 84.8
71.98 30.03
30.93 40.84
40.24 29.57
12.73 42.04
94.04 67.73
90.28 61.55
30.09 54.79
0.04 28.69
42.99 58.0
65.47 46.5
44.22 21.37
47.32 90.12
79.6 16.97
8.48 51.55
63.29 33.52
81.84 75.11
67.28 22.46
19.91 2.44
24.48 47.51
84.97 7.28
41.44 62.98
19.44 69.64
49.44 24.4
65.61 0.55
75.1 77.0
10.66 42.51
17.59 95.8
51.8 5.02
24.92 84.83
45.65 80.14
66.76 98.79
59.55 95.0
89.14 61.27
71.93 50.48
83.06 54.79
